v001x,v003x,v217y
16,Persson II,0
9,Ahern I,0
6,Schroeder I,0
4,Lipponen I,0
13,Bondevik I,1
3,Rasmussen N IV,0
1,Klima I,0
2,Dehaene II,0
12,Kok II,1
13,Gerhardsen II,0
1,Figl I,1
16,Hansson I,0
12,Beel I,0
2,Spaak II,1
3,Kristensen,2
1,Figl II,0
16,Erlander I,0
4,Paasikivi II,0
9,Valera VI,2
2,Huysmans,1
2,Spaak I,1
2,Van Acker III,1
12,Schermerhorn,0
4,Pekkala,0
1,Renner,0
4,Kekkonen V,0
2,Eyskens G II,0
16,Erlander V,1
3,Hansen,2
3,Hedtoft I,2
12,Drees III,0
4,Fagerholm II,1
4,Sukselainen I,1
6,Adenauer I,0
4,Kuuskoski,0
3,Eriksen I,0
12,Beel II,2
13,Torp II,1
16,Erlander III,0
2,Houtte,0
12,Drees I,1
9,Costello II,1
4,Sukselainen III,0
16,Erlander II,0
12,Drees IV,1
1,Raab II,1
4,Kekkonen III,1
16,Erlander IV,0
9,Valera VII,2
2,Pholien,1
3,Hedtoft III,0
13,Gerhardsen III,0
4,Fagerholm III,1
12,Drees II,0
6,Adenauer II,1
4,Fieandt,1
13,Torp I,0
2,Van Acker IV,0
1,Figl III,1
1,Raab I,1
4,Fagerholm I,0
4,Kekkonen IV,1
9,Costello I,1
13,Gerhardsen IV,0
4,Kekkonen I,0
9,Valera VIII,0
2,Eyskens G I,1
4,Sukselainen II,1
6,Adenauer IV,0
6,Adenauer III,1
4,Tuomioja,2
3,Hedtoft II,1
16,Erlander VI,2
3,Eriksen II,0
2,Duvieusart,0
4,Kekkonen II,0
4,Torngren,1
9,Lemass III,0
12,Cals,1
16,Erlander X,0
1,Klaus I,1
1,Raab III,1
6,Erhard II,1
6,Erhard I,0
3,Krag I,0
2,Eyskens G III,1
16,Erlander VIII,0
4,Paasio I,0
12,Marijnen,1
13,Borten I,0
2,Vanden Boeynants I,1
3,Hansen II,0
4,Virolainen,0
2,Harmel,1
13,Gerhardsen VII,0
1,Gorbach I,2
3,Kampmann I,2
6,Kiesinger,0
6,Adenauer V,1
9,Lynch I,2
6,Adenauer VI,0
6,Adenauer VIII,0
13,Gerhardsen VI,1
3,Krag II,2
12,De Quay,0
2,Lefevre,0
12,Zijlstra,0
