counrty,year,enps,gdp,unemployment,inflation
Austria,1962,54.4094,5.55400276,1.859189,3.5422564
Austria,1966,53.2775,3.01234937,1.920694,4.9309111
Austria,1970,52.8578,5.46475172,2.040816,3.0804024
Austria,1971,54.7942,6.4319601,1.39396,4.3728256
Austria,1975,54.7942,3.94349504,1.343822,9.5217915
Austria,1979,54.9798,-0.36235672,2.078597,3.5743225
Austria,1983,55.7331,1.90781069,3.513022,5.4360261
Austria,1986,55.7331,2.24336529,3.606557,3.1895113
Austria,1990,66.6022,4.14189768,3.130435,2.5683467
Austria,1994,73.1778,0.80853057,4.258168,3.6317856
Austria,1995,71.3198,2.43868494,3.587211,2.9534066
Austria,1999,70.6734,3.75834966,4.281266,0.9224669
Austria,2002,65.2994,0.97906339,3.661034,2.6500001
Austria,2006,70.3401,2.76533246,5.165811,2.2991378
Austria,2008,76.5736,3.65400124,4.416069,2.168556
Belgium,1961,62.7987,,,
Belgium,1965,72.1918,6.9476266,1.50109,4.16874933
Belgium,1968,79.8559,3.868789,2.479784,2.730299
Belgium,1971,83.0454,6.1919942,1.931973,3.90847039
Belgium,1974,82.9229,6.1223278,2.454643,6.95527792
Belgium,1977,54.9798,5.652751,6.016,9.06860638
Belgium,1978,80.9813,0.6261355,6.832777,7.09599733
Belgium,1981,86.896,4.4795012,8.092485,6.64869022
Belgium,1985,85.763,2.4663827,13.50816,6.34177637
Belgium,1987,85.9976,1.822762,11.89351,1.29437077
Belgium,1991,88.1353,3.1374025,8.922024,3.44831014
Belgium,1995,87.5786,3.2269714,13.06258,2.37754464
Belgium,1999,88.97598,1.9303042,11.708,0.94925028
Belgium,2003,85.7577,1.3584572,7.544469,1.64521432
Belgium,2007,87.3919,2.6688454,8.245826,1.79319239
Belgium,2010,88.1417,-2.7556345,7.907569,-0.05406049
Finland,1962,80.3625,7.6051126,1.216659,0.003418124
Finland,1966,79.8575,5.3029485,1.379945,0.004940588
Finland,1970,82.0825,9.5935764,2.841174,0.002205602
Finland,1972,81.84,2.0636203,2.26642,0.006475761
Finland,1975,81.18,3.0741868,1.727192,0.01693639
Finland,1979,80.8,2.5011413,7.281964,0.00779935
Finland,1983,80.5575,3.0968516,5.395683,0.00958493
Finland,1987,79.73,2.7543936,5.392732,0.002933578
Finland,1991,80.8835,0.1424685,3.185703,0.006149561
Finland,1995,79.53,3.6537352,16.625919,0.001088558
Finland,1999,80.535,5.0301285,11.40456,0.001399471
Finland,2003,79.6975,1.8341296,9.121674,0.001571221
Finland,2007,80.465,4.4112568,7.733131,0.001566667
Finland,2011,82.805,3.3630102,8.41558,0.001184135
Denmark,1960,72.1972,,,
Denmark,1964,71.4996,-1.12000001,2.0579979,5.519739
Denmark,1966,74.8127,4.4699997,1.179673,6.316298
Denmark,1968,76.4313,5.64457416,1.22164,7.695135
Denmark,1971,74.6305,1.49754298,0.728988,6.514837
Denmark,1973,85.5036,4.17499781,0.9667928,6.562348
Denmark,1975,81.5477,-0.81595439,3.602129,15.275195
Denmark,1977,80.7604,6.09350061,6.4097362,9.010302
Denmark,1979,79.2719,2.27454662,8.3759336,10.213646
Denmark,1981,81.7186,-0.48754236,6.9329309,12.305323
Denmark,1984,80.1521,2.65185714,9.7432814,6.908229
Denmark,1987,81.1604,4.94924069,6.032615,3.678187
Denmark,1988,81.2099,0.28993684,6.0902472,4.01999
Denmark,1990,77.108,0.57290041,8.1505795,4.772727
Denmark,1994,77.981,-0.08960504,10.7200003,1.257862
Denmark,1998,78.7952,3.19845414,5.3999581,2.182167
Denmark,2001,77.6814,3.52865601,4.4768772,2.903277
Denmark,2005,79.5518,2.29648709,5.2027521,1.160165
Denmark,2007,81.2592,3.3947103,3.8984621,1.890073
Denmark,2011,82.1594,1.38685906,7.4647789,2.29773
Germany,1961,67.8658,,1.033365,1.5366147
Germany,1965,65.8724,6.42185545,0.6385551,2.3357346
Germany,1969,63.0974,5.53926849,1.251259,1.4703
Germany,1972,64.0957,3.01178002,0.6992478,5.2409749
Germany,1976,64.986,-0.89189023,4.0285072,5.910336
Germany,1980,66.2305,4.28505993,3.244925,4.043622
Germany,1983,68.3224,-0.51278865,6.540355,5.241046
Germany,1987,71.1949,2.26971602,6.5682321,-0.1294139
Germany,1990,68.4744,4.04697132,5.617785,2.7805634
Germany,1994,70.9876,-1.01181352,7.9612298,4.4745765
Germany,1998,69.7547,1.78926432,0.9124699,1.9393692
Germany,2002,70.4284,1.63757193,7.881598,1.9838568
Germany,2005,75.3048,0.69407368,10.3422203,1.6657361
Germany,2009,79.31774,0.80654728,7.5600882,2.6283832
Germany,2013,79.31774,0.89613992,5.4826331,2.0084913
Ireland,1961,64.5207,,5.680793,
Ireland,1965,62.0315,3.7861965,4.749104,6.7623272
Ireland,1969,59.2525,8.2440367,5.381166,4.7452459
Ireland,1973,61.251,6.4898081,6.210621,8.6404314
Ireland,1977,57.947,1.3948079,9.090909,17.906477
Ireland,1981,61.7192,3.0793293,7.386364,18.1544628
Ireland,1982,60.8252,3.3252158,10.49567,20.3735142
Ireland,1987,65.4791,-0.4283305,17.14719,3.7583253
Ireland,1989,66.3983,5.2174144,16.38397,2.1333334
Ireland,1992,71.4682,1.9296396,14.75507,3.1553397
Ireland,1997,66.7343,9.7019978,11.94847,1.7155111
Ireland,2002,70.6511,4.9843564,3.871147,4.8759985
Ireland,2007,66.8435,5.5036573,4.653349,3.9430642
Ireland,2011,71.8151,1.0744838,13.92515,-0.9461664
Netherlands,1963,77.7897,4.14606953,0.5325307,2.43111825
Netherlands,1967,82.4786,3.02010155,0.7903403,5.76214123
Netherlands,1971,84.4466,5.69647265,0.994709,3.66891933
Netherlands,1972,61.251,4.21923399,1.3019741,7.47768736
Netherlands,1977,57.947,5.11843204,5.6366591,8.83064651
Netherlands,1981,61.7192,1.68200207,6.1555891,6.51345158
Netherlands,1982,84.4746,-0.51355523,8.6455336,6.73893022
Netherlands,1986,71.3991,2.65601897,10.4958897,2.25858688
Netherlands,1989,73.3862,2.98027301,9.4058495,0.7379455
Netherlands,1994,81.5924,1.26351273,6.2849321,2.58418179
Netherlands,1998,79.3275,4.3393116,5.510776,2.1761713
Netherlands,2002,82.7666,1.98806155,2.119138,4.16233683
Netherlands,2003,78.9564,0.0784396,2.554018,3.28668571
Netherlands,2006,81.9764,2.16623259,4.723309,1.67408133
Netherlands,2010,85.1884,-3.6512506,3.412436,1.18990457
Norway,1961,68.9435,,1.203966,0.3604903
Norway,1965,71.5404,5.00884962,1.1080329,5.8670144
Norway,1969,68.5795,2.2598543,1.148649,3.4482758
Norway,1973,75.8675,5.0931196,1.6786571,7.2584171
Norway,1977,66.3244,5.86308575,1.7669801,9.1614904
Norway,1981,68.7364,4.50417566,1.678028,10.911602
Norway,1985,67.6779,5.89406681,3.1952071,6.3095779
Norway,1989,76.3888,-0.17287545,3.212291,6.6813087
Norway,1993,75.251,3.52307272,6.0562711,2.348412
Norway,1997,78.0706,5.09979963,4.8824592,1.2478981
Norway,2001,81.314,3.25351715,4.8824592,3.0860679
Norway,2005,78.0706,3.96106768,4.482029,0.4653912
Norway,2009,75.3551,0.06759943,2.602953,3.7661607
Sweden,1960,67.901,,,
Sweden,1964,69.2286,5.3279338,1.666667,2.8717406
Sweden,1968,65.3109,3.3653886,2.119205,4.2893147
Sweden,1970,69.7989,3.8400035,2.272515,2.6919932
Sweden,1973,70.1394,2.2887387,2.695214,6.0073905
Sweden,1976,70.9479,2.5528626,1.622669,9.7798777
Sweden,1979,71.3219,1.751548,2.458103,9.9952641
Sweden,1982,68.0459,0.4548304,2.766908,12.1039381
Sweden,1985,70.5179,4.2295351,3.490667,8.0442429
Sweden,1988,72.7345,3.353843,2.308737,4.1885715
Sweden,1991,76.1812,0.7546747,1.806042,10.3665533
Sweden,1994,71.4962,-2.0656164,9.481735,4.7281733
Sweden,1998,76.74,2.908994,10.19417,0.6584103
Sweden,2002,76.3096,1.4135835,5.06159,2.4059584
Sweden,2006,75.8652,3.1554947,7.779845,0.4531709
Sweden,2010,77.9328,-4.9769268,8.314652,-0.4944606
